name,region,1952,1957,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Cambodia,Asia,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle
Cameroon,Africa,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Canada,Americas,High,High,High,High,High,High,High,High,High,High,High,High
Central African Republic,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Chad,Africa,Low,Lower-Middle,Lower-Middle,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle
Chile,Americas,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High
China,Asia,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle
Colombia,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Comoros,Africa,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Low,Lower-Middle,Lower-Middle,Lower-Middle,Low,Low,Low
"Congo, Dem. Rep.",Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
"Congo, Rep.",Africa,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Lower-Middle,Lower-Middle,Upper-Middle
Costa Rica,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Cote d'Ivoire,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Croatia,Europe,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,Upper-Middle,High,High,High
Cuba,Americas,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Czech Republic,Europe,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High,High
Denmark,Europe,High,High,High,High,High,High,High,High,High,High,High,High
Djibouti,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Dominican Republic,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Ecuador,Americas,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Egypt,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
El Salvador,Americas,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Equatorial Guinea,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Upper-Middle,High
Eritrea,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Ethiopia,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Finland,Europe,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High,High
France,Europe,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High,High
Gabon,Africa,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High
Gambia,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Germany,Europe,Upper-Middle,High,High,High,High,High,High,High,High,High,High,High
Ghana,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle
Greece,Europe,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High
Guatemala,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Guinea,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Guinea-Bissau,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Haiti,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Low
Honduras,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle
"Hong Kong, China",Asia,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High
Hungary,Europe,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
Iceland,Europe,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High,High
India,Asia,Low,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle
Indonesia,Asia,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle
Iran,Asia,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,High,High,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Iraq,Asia,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,Upper-Middle,Lower-Middle,Upper-Middle,Upper-Middle
Ireland,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High
Israel,Asia,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High
Italy,Europe,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
Jamaica,Americas,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Japan,Asia,Lower-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
Jordan,Asia,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Kenya,Africa,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
"Korea, Dem. Rep.",Asia,Low,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Lower-Middle,Lower-Middle,Lower-Middle
"Korea, Rep.",Asia,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High
Kuwait,Asia,High,High,High,High,High,High,High,High,High,High,High,High
Lebanon,Asia,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Lesotho,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle
Liberia,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Libya,Africa,Lower-Middle,Lower-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
Madagascar,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Low,Low,Low,Low,Low
Malawi,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Malaysia,Asia,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High
Mali,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Mauritania,Africa,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Mauritius,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Mexico,Americas,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,Upper-Middle,High,High,High,High
Mongolia,Asia,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Montenegro,Europe,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Morocco,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle
Mozambique,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Myanmar,Asia,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Namibia,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Nepal,Asia,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Netherlands,Europe,Upper-Middle,High,High,High,High,High,High,High,High,High,High,High
New Zealand,Oceania,High,High,High,High,High,High,High,High,High,High,High,High
Nicaragua,Americas,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Niger,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Nigeria,Africa,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Norway,Europe,High,High,High,High,High,High,High,High,High,High,High,High
Oman,Asia,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,High,High,High,High,High,High,High,High
Pakistan,Asia,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Panama,Americas,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Paraguay,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Peru,Americas,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Philippines,Asia,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Poland,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High
Portugal,Europe,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High
Puerto Rico,Americas,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High
Reunion,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Romania,Europe,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,Upper-Middle,Upper-Middle,Upper-Middle,High
Rwanda,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Sao Tome and Principe,Africa,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Saudi Arabia,Asia,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High,High
Senegal,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Serbia,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,Upper-Middle,Upper-Middle,Upper-Middle,High
Sierra Leone,Africa,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Low,Low,Low,Low
Singapore,Asia,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High
Slovak Republic,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High
Slovenia,Europe,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
Somalia,Africa,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Low,Low,Low,Low,Low,Low
South Africa,Africa,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Spain,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High
Sri Lanka,Asia,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle
Sudan,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Swaziland,Africa,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Sweden,Europe,Upper-Middle,High,High,High,High,High,High,High,High,High,High,High
Switzerland,Europe,High,High,High,High,High,High,High,High,High,High,High,High
Syria,Asia,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Taiwan,Asia,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High
Tanzania,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Thailand,Asia,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Togo,Africa,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Low,Low,Low,Low
Trinidad and Tobago,Americas,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High
Tunisia,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Turkey,Europe,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Uganda,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
United Kingdom,Europe,High,High,High,High,High,High,High,High,High,High,High,High
United States,Americas,High,High,High,High,High,High,High,High,High,High,High,High
Uruguay,Americas,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Venezuela,Americas,Upper-Middle,High,Upper-Middle,High,High,High,High,High,High,High,Upper-Middle,High
Vietnam,Asia,Low,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle
West Bank and Gaza,Asia,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Lower-Middle
"Yemen, Rep.",Asia,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Zambia,Africa,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Low,Low,Lower-Middle
Zimbabwe,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
