Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ethiopia,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Fiji,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Middle,Middle,Middle,Middle,Low,Low,Low,Low,Low,Low,Middle,Middle,Middle,Middle,Middle,Middle
Finland,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High
France,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
Gabon,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle
Gambia,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Georgia,High,High,High,Middle,Middle,Middle,Middle,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Middle,Low,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle
Germany,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High
Ghana,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Greece,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,High,High,High,High,High,High,High,High
Grenada,Low,Low,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,High,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle
Guatemala,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Guinea,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Guinea-Bissau,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Guyana,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle
Haiti,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Honduras,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Hungary,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
Iceland,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,High,High,High,High,High,High,High,High,High,High,High,High
India,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle
Indonesia,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle
Iran,Middle,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Very High,Very High,High,High,Very High,Very High,High
Iraq,Middle,Middle,Middle,High,High,High,High,High,High,Middle,Middle,High,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,High,High,Middle,Middle,Middle,High,High,High
Ireland,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,High
Israel,High,High,High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,High,High
Italy,High,High,High,High,High,High,High,High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,High,High,High,High,High,High,High,High,High,High,High
Jamaica,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,High,High,High,High,High,High,High,High,High,High,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle
Japan,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High
Jordan,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle
Kazakhstan,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High
Kenya,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Very Low,Low
Kiribati,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Kuwait,Very High,High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High
Kyrgyz Republic,High,High,Middle,Middle,Middle,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Middle,Low,Low,Low,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle
Lao PDR,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Low,Low,Low,Low,Low,Middle,Middle,Middle,Middle
Latvia,High,High,High,High,High,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,High,High,High,Middle,High,High,High,High,Middle,High,Middle,Middle,High,High
Lebanon,Middle,Middle,Middle,Middle,Middle,Middle,Middle,High,High,High,Middle,High,High,High,High,High,Middle,Middle,High,High,High,High,High,High,High,High,High,High,High,High
Lesotho,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Liberia,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Libya,High,High,High,High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High
Liechtenstein,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Middle,High
Lithuania,Very High,Very High,High,High,High,High,High,High,High,Middle,Middle,Middle,Middle,Middle,Middle,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
Luxembourg,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High
Madagascar,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Malawi,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Malaysia,Middle,Middle,Middle,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Very High,Very High,Very High,Very High,High,Very High,Very High
Maldives,Low,Low,Low,Low,Low,Low,Low,Low,Low,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,High,High,High,High
Mali,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,,,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Malta,High,High,High,Very High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Middle,Middle,Middle,Middle
Marshall Islands,,,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,High,High,High,High
Mauritania,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Mauritius,Low,Low,Low,Low,Low,Low,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle
Mexico,Middle,Middle,Middle,Middle,High,Middle,Middle,Middle,High,Middle,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Middle,Middle
Micronesia,,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Middle,Middle,Middle,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Middle,Middle,Middle,Middle
Moldova,Very High,Very High,High,High,High,High,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle
Mongolia,High,High,High,High,High,High,Middle,Middle,Middle,Middle,Middle,Middle,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
Montenegro,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,High,Middle,High,High,High,Middle,Middle,High,Middle,Middle,High,High
Morocco,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle
Mozambique,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
Myanmar,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Low,Low
Namibia,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle,Middle
Nauru,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
Nepal,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Low,Low
Netherlands,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High
