name,region,1952,1957,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Costa Rica,Americas,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High
Cote d'Ivoire,Africa,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Low,Low,Lower-Middle
Croatia,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High
Cuba,Americas,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High
Czech Republic,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High
Denmark,Europe,Upper-Middle,High,High,High,High,High,High,High,High,High,High,High
Djibouti,Africa,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Dominican Republic,Americas,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High
Ecuador,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High
Egypt,Africa,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
El Salvador,Americas,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Equatorial Guinea,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle
Eritrea,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Ethiopia,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle
Finland,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High
France,Europe,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
Gabon,Africa,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Gambia,Africa,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Germany,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High
Ghana,Africa,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Greece,Europe,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
Guatemala,Americas,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Guinea,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Guinea-Bissau,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Haiti,Americas,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle
Honduras,Americas,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
"Hong Kong, China",Asia,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High
Hungary,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High
Iceland,Europe,High,High,High,High,High,High,High,High,High,High,High,High
India,Asia,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Indonesia,Asia,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Iran,Asia,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Iraq,Asia,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Ireland,Europe,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
Israel,Asia,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High
Italy,Europe,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
Jamaica,Americas,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High
Japan,Asia,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
Jordan,Asia,Low,Low,Low,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High
Kenya,Africa,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
"Korea, Dem. Rep.",Asia,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
"Korea, Rep.",Asia,Low,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High
Kuwait,Asia,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High
Lebanon,Asia,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High
Lesotho,Africa,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Low,Low
Liberia,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Libya,Africa,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High
Madagascar,Africa,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Malawi,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Low,Low,Lower-Middle
Malaysia,Asia,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High
Mali,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Mauritania,Africa,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle
Mauritius,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High
Mexico,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High
Mongolia,Asia,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Montenegro,Europe,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High
Morocco,Africa,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Mozambique,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Myanmar,Asia,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle
Namibia,Africa,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Nepal,Asia,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle
Netherlands,Europe,High,High,High,High,High,High,High,High,High,High,High,High
New Zealand,Oceania,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High,High
Nicaragua,Americas,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Niger,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle
Nigeria,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Norway,Europe,High,High,High,High,High,High,High,High,High,High,High,High
Oman,Asia,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,High,High,High,High
Pakistan,Asia,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Panama,Americas,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High
Paraguay,Americas,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Peru,Americas,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Philippines,Asia,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Poland,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,Upper-Middle,High,High,High,High,High,High
Portugal,Europe,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High
Puerto Rico,Americas,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
Reunion,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High
Romania,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High
Rwanda,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Sao Tome and Principe,Africa,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Saudi Arabia,Asia,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High
Senegal,Africa,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle
Serbia,Europe,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High
Sierra Leone,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Singapore,Asia,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High
Slovak Republic,Europe,Upper-Middle,Upper-Middle,Upper-Middle,High,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High
Slovenia,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High
Somalia,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
South Africa,Africa,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Spain,Europe,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
Sri Lanka,Asia,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Sudan,Africa,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Swaziland,Africa,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Low,Low
Sweden,Europe,High,High,High,High,High,High,High,High,High,High,High,High
Switzerland,Europe,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High,High
Syria,Asia,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High
Taiwan,Asia,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High
Tanzania,Africa,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Thailand,Asia,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Togo,Africa,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Trinidad and Tobago,Americas,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Tunisia,Africa,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High
Turkey,Europe,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Uganda,Africa,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Low,Low,Lower-Middle
United Kingdom,Europe,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
United States,Americas,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High
Uruguay,Americas,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High
Venezuela,Americas,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High
Vietnam,Asia,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High
West Bank and Gaza,Asia,Low,Low,Low,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High
"Yemen, Rep.",Asia,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle
Zambia,Africa,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Low,Low,Low,Low
Zimbabwe,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Lower-Middle,Low,Low,Low
