"family1","family13","family25","family37","family49","family61","family73","family85","family97","family109","family121","family133","family145","family157","family169","family181","family193","family205","family217","family229","family241","family253"
"S","LAT","LAT","LAT","COH","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","LAT","LAT","COH","COH","COH","COH","COH","MAR","MAR","LAT","COH","COH","COH","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc"
"LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"COH","COH","COH","COH","COH","COH","COH","LAT","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"S","S","S","S","S","LATc","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","LATc","LATc","LATc","LATc","LATc","LATc","LATc","LATc","LATc"
"S","S","S","S","LAT","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","LAT","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","COH","COH","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","S","COH","COH","COHc","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","S","S","S","S","S","S","S","S","S"
"LAT","LAT","LAT","LAT","S","S","COH","COH","COH","COH","COH","COH","COH","COH","S","S","S","S","S","S","S","S"
"S","S","S","LAT","LAT","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","COH","COH","COH","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","MARc1","MARc1"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","S","S","LAT","LAT","COH","MAR","MAR","MAR","MARc1","MARc1","Sc","Sc","Sc","Sc"
"LAT","LAT","LAT","LAT","COH","MAR","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","LAT","COH","COH","COH","COH","S","S","COH","COH","COH","COHc"
"S","S","S","S","LAT","LAT","S","S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","S","S"
"S","S","LAT","LAT","S","S","S","LAT","LAT","COH","COH","COH","COH","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","S","S","S","S","S","S","S","S","LAT","LAT","S","S","S","LAT","LAT","LAT","LAT","S","S","S","S"
"LAT","LAT","S","S","S","LAT","COH","COH","COH","COH","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","LAT","LAT","LAT","COH","COH","COH","COH","COH","LAT","LAT","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","S","S","S","S","S","S","LAT","LAT","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","LAT","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","LAT","LAT","LAT","LAT","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+"
"S","COH","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","LAT","S","S","LAT","LAT","LAT","LAT","COH","COH","COH","S","LAT","LAT","LAT","COH","COH","COH","MARc1","MARc1"
"S","S","LAT","LAT","LAT","S","LAT","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","LAT","COH","COH","COH","COHc","COHc","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","LAT","LAT","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","Sc","Sc","Sc","Sc","Sc","Sc","Sc"
"S","LAT","LAT","LAT","LAT","COH","COH","S","S","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+"
"S","LAT","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1"
"S","S","S","LAT","COH","COH","COH","COH","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"S","S","S","LAT","LAT","LAT","S","LAT","LAT","LAT","S","LAT","LAT","LAT","COHc","COHc","COHc","COHc","COHc","Sc","LATc","Sc"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","LAT","LAT"
"S","S","S","S","S","S","S","LAT","LAT","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","S","S","S","S","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","S","S","S","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","Sc","Sc","Sc"
"S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","S","LAT","S","S","S","S","S","S","S","S","S","S","LAT"
"MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","LAT","LAT","LAT","LAT","COH","COH","COH","S","S","LAT","LAT","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","LAT","COH","COH","COH","COH","S","S","S","LAT","LAT","LAT","COHc","COHc","COHc","COHc","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","S","COH","COH","COH","LAT","COH","COH","COH","COHc","COHc","COHc","COHc","COHc","Sc","LATc","COHc","COHc","COHc"
"S","S","S","S","S","S","LAT","LAT","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","LAT","LAT","LAT","S","S","S","S","LAT","LAT","LAT","S","S","S","S","S","S","S","S","S"
"S","S","S","S","S","S","S","S","S","LAT","LAT","LAT","MAR","MAR","MAR","LAT","LAT","LAT","LAT","COH","COH","MAR"
"S","LAT","LAT","LAT","COH","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","S","LAT","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","LAT","LAT","LAT","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","S","S","LAT","LAT","LAT","COH","COHc","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+"
"LAT","S","S","COH","COH","COH","COH","MAR","MAR","LAT","LAT","COHc","COHc","COHc","COHc","COHc","COHc","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","LAT","S","S","S","LAT","LAT","S","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH"
"COH","COH","COH","COH","COH","S","S","S","S","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","LAT","LAT","LAT","S","S","LAT","LAT","LAT","LAT","LAT","LAT","S","LAT","LAT","S","S","LAT","LAT","LAT","COH","COHc"
"LAT","LAT","COH","COH","COH","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","COHc","COHc"
"S","S","S","S","S","LAT","LAT","LAT","S","S","S","S","S","S","S","S","S","LAT","COH","COH","S","S"
"S","LAT","LAT","LAT","LAT","S","S","S","S","S","COH","COH","COH","COH","COH","S","S","S","S","S","S","S"
"LAT","S","LAT","LAT","COH","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","LAT","LAT","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","MAR","MARc1","MARc1"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","LAT"
"S","S","S","S","LAT","LAT","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","LAT","LAT","COH","COH","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","LAT","LAT","LAT","S","S","S","S","S","S","S","S","S","S","S","S"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","S","S","S","S","S","S","S"
"S","S","LAT","LAT","LAT","LAT","LAT","LAT","COHc","COHc","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH"
"S","S","S","S","LAT","COH","COH","COHc","COHc","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","LAT","LAT","LAT","COH","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"COH","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","LAT","LAT","COH","COH","COH","MAR","MAR","MAR"
"S","S","S","S","S","S","S","S","LAT","LAT","LAT","COH","COH","COH","COH","LAT","LAT","LAT","LAT","LAT","LAT","LAT"
"LAT","LAT","LAT","LAT","LAT","LAT","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","S","LAT","LAT","LAT","LAT","LAT","LAT","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COHc","COHc","COHc","COHc","COHc","MARc2+","MARc2+"
"S","S","S","S","LAT","LAT","LAT","LAT","S","S","S","S","S","S","S","S","LAT","LAT","LAT","COHc","COHc","COHc"
"S","S","S","S","LAT","LAT","LAT","S","LAT","S","S","LAT","COH","COH","COH","MAR","MAR","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","LAT","LAT","COH","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"LAT","COH","COH","MAR","MAR","MAR","MAR","MAR","S","COH","COHc","COHc","MARc1","MARc1","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"LAT","LAT","LAT","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","LAT","LAT","LAT","LATc","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","LAT","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","MAR","MAR","MAR"
"S","S","S","S","S","S","S","COH","MAR","MAR","MAR","MAR","S","COH","COHc","COHc","COHc","COHc","COHc","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","S","LAT","COHc","COHc","COHc","COHc","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","LAT","COH","COH","MAR","MAR","MAR","MAR","MAR","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","S","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","MARc2+","MARc2+"
"LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","LAT","COH","COH","COH","COH","COH","COHc","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","LAT","S","S","S","S","S","S","S","S","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH"
"LAT","LAT","LAT","LAT","COH","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"S","S","LAT","COH","COH","LAT","S","S","LAT","LAT","Sc","Sc","Sc","Sc","LATc","LATc","LATc","LATc","COHc","COHc","COHc","COHc"
"S","S","LAT","LAT","LAT","COH","COH","COH","MAR","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","S","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+"
"LAT","LAT","S","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","COH","COH","COH","MARc1","MARc1","COHc","COHc","COHc","COHc","COHc","COHc","Sc","Sc","Sc","Sc","Sc","Sc","Sc"
"LAT","LAT","LAT","LAT","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","LAT","LAT","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","LAT","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","LAT","S","S","S","LAT","S","S","S","S","S","LAT","LAT","LAT","LAT","MAR","MARc1"
"S","LAT","LAT","LAT","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","LAT","LAT","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COHc","COHc","COHc","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","LAT","S","COH","COH","COH","COH","LAT","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","COH","LAT","LAT","COHc","MARc1","MARc1","MARc2+","MARc2+"
"S","S","S","S","LAT","LAT","LAT","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"LAT","LAT","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","LATc","LATc","Sc","COHc","COHc","COHc","COHc"
"S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH"
"LAT","LAT","LAT","S","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","LAT","LAT","COH","COH","MAR","MAR","MAR","MARc1"
"S","LAT","S","S","S","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","MAR"
"LAT","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","LAT","LAT","LAT","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc2+"
"S","LAT","LAT","LAT","LAT","S","S","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","MAR","MAR","MAR","MARc1","MARc1","MARc1"
"COH","COH","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","S","COH","COH","COH","COH","COH","COH","COH","COH","MARc1","MARc1"
"LAT","LAT","LAT","LAT","S","LAT","LAT","LAT","LAT","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","COH","COH","COH","COH","COH","COH","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+"
"S","S","S","S","S","S","LAT","COH","COH","COH","COH","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","LAT","LAT","S","S","LAT","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","LAT","LAT","S","S","S","COH","COH","S","S","S","S","S","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","S","S","LAT","S","S","LAT","LAT","LAT","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"LAT","LAT","LAT","LAT","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","S","S","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COHc","COHc","MARc1","MARc1","MARc1","MARc1"
"S","LAT","LAT","LAT","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","S","S","S","S","COH","COH","COH","COH","COHc","COHc","COHc","COHc","COHc","Sc","Sc"
"S","S","S","S","LAT","LAT","LAT","COH","COHc","COHc","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","S","S","LAT","COH","LAT","COH","COH","S","S","S","COH","LAT","Sc","Sc","Sc","Sc","Sc","Sc"
"S","S","S","Sc","Sc","Sc","Sc","Sc","LATc","COHc","COHc","COHc","COHc","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","S","S","S"
"COH","COH","LAT","LAT","S","LAT","LAT","COH","MARc1","MARc1","MARc1","LATc","LATc","LATc","LATc","LATc","LATc","LATc","LATc","LATc","LATc","COHc"
"S","S","S","S","S","S","S","S","LAT","LAT","LAT","COHc","COHc","COHc","COHc","COHc","COHc","Sc","Sc","Sc","Sc","Sc"
"S","S","S","S","LAT","LAT","LAT","COH","S","COH","S","COH","COHc","LATc","Sc","Sc","Sc","LATc","COHc","COHc","COHc","COHc"
"COH","MAR","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","LATc","LATc","COHc","COHc","COHc"
"LAT","LAT","S","LAT","LAT","S","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"LAT","LAT","COH","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","LAT","LAT","S","LAT","LAT","S","S","S","S","S","S","S","S","S","S","S"
"S","S","S","S","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","LAT","LAT","S","LAT","LAT","LAT","LAT","LAT","S","S","S","S"
"S","S","S","S","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","S","LAT","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1"
"S","S","COH","COH","S","LAT","S","S","S","S","S","S","LAT","S","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc"
"S","LAT","COH","COH","COH","COH","COH","COH","COH","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","S","LAT","LAT","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
